# Data for Fig. 3.; details on IEEE DataPort at https://doi.org/10.21227/9xeg-4g78
# time [sec], currentA [kA], currentB [kA], currentC [kA]
0,-0.144284303,-0.329579822,0.473864156
2.80E-04,-0.105150744,-0.359353089,0.46450387
5.60E-04,-0.062030146,-0.389770457,0.451800639
8.40E-04,-0.017224429,-0.416783092,0.434007563
0.00112,0.025984952,-0.437606389,0.411621477
0.0014,0.06566024,-0.451947892,0.386287695
0.00168,0.107096219,-0.462175484,0.355079303
0.00196,0.149814683,-0.477712291,0.327897644
0.00224,0.191727474,-0.489356319,0.297628887
0.00252,0.229393234,-0.489919381,0.260526187
0.0028,0.265275574,-0.48610359,0.220828053
0.00308,0.300969521,-0.481811452,0.180841971
0.00336,0.334303442,-0.476943899,0.142640485
0.00364,0.363722546,-0.466026614,0.102304106
0.00392,0.390511775,-0.447475998,0.056964256
0.0042,0.415833557,-0.428273529,0.012440014
0.00448,0.437233183,-0.410320612,-0.026912537
0.00476,0.454629139,-0.387685083,-0.06694402
0.00504,0.467680951,-0.357099546,-0.110581377
0.00532,0.478646638,-0.325133598,-0.153513007
0.0056,0.48703447,-0.293193233,-0.193841206
0.00588,0.490149512,-0.259636065,-0.230513416
0.00616,0.488705155,-0.221139609,-0.267565511
0.00644,0.484133688,-0.180241896,-0.303891761
0.00672,0.477160728,-0.141212998,-0.335947701
0.007,0.466668553,-0.101150845,-0.365517678
0.00728,0.454393495,-0.057980298,-0.396413162
0.00756,0.436260552,-0.01321864,-0.423041888
0.00784,0.412790607,0.028347246,-0.441137826
0.00812,0.385970517,0.068854128,-0.454824618
0.0084,0.354889039,0.111422689,-0.466311695
0.00868,0.327305421,0.153940675,-0.481246065
0.00896,0.296418278,0.195287035,-0.491705288
0.00924,0.258426368,0.231895055,-0.490321395
0.00952,0.218125891,0.267698559,-0.485824421
0.0098,0.179258159,0.303408302,-0.482666428
0.01008,0.13996284,0.336782304,-0.476745112
0.01036,0.098274152,0.365334742,-0.463608859
0.01064,0.052885773,0.391722972,-0.444608719
0.01092,0.009479339,0.416112226,-0.425591531
0.0112,-0.029566851,0.436717039,-0.407150159
0.01148,-0.069877066,0.453225158,-0.383348058
0.01176,-0.114797048,0.466172594,-0.351375516
0.01204,-0.157403812,0.477005182,-0.319601338
0.01232,-0.196120442,0.484076554,-0.287956084
0.0126,-0.232946078,0.485776815,-0.252830705
0.01288,-0.270274816,0.483459115,-0.213184262
0.01316,-0.30518371,0.478740509,-0.173556771
0.01344,-0.337222861,0.471269948,-0.134047055
0.01372,-0.367062842,0.460244388,-0.093181512
0.014,-0.397242866,0.446598568,-0.049355666
0.01428,-0.421854367,0.426855536,-0.005001135
0.01456,-0.439237027,0.403338601,0.035898461
0.01484,-0.451855749,0.375327676,0.076528102
0.01512,-0.463898931,0.344455086,0.119443881
0.0154,-0.479237554,0.316799992,0.162437591
0.01568,-0.486804674,0.284989207,0.201815502
0.01596,-0.484247937,0.246223664,0.238024308
0.01624,-0.480081917,0.205711282,0.274370666
0.01652,-0.476296412,0.166879926,0.309416521
0.0168,-0.469404375,0.127428561,0.341975851
0.01708,-0.455595034,0.085358798,0.370236268
0.01736,-0.43581872,0.040561555,0.3952572
0.01764,-0.416613551,-0.003005545,0.419619141
0.01792,-0.397802688,-0.041610755,0.439413481
0.0182,-0.371921769,-0.082747169,0.454668981
0.01848,-0.340229806,-0.127559288,0.467789135
0.01876,-0.309423459,-0.168767714,0.478191214
0.01904,-0.276327614,-0.207265728,0.483593385
0.01932,-0.240257842,-0.244377605,0.48463549
0.0196,-0.200985338,-0.28090613,0.48189151
0.01988,-0.160756412,-0.316016113,0.476772567
0.02016,-0.121762749,-0.34726402,0.46902681
0.02044,-0.08081546,-0.376917001,0.4577325
0.02072,-0.035952816,-0.40575552,0.441708386
0.021,0.007621555,-0.430198219,0.422576704
0.02128,0.048311346,-0.445819461,0.397508151
0.02156,0.088976,-0.457798944,0.368822981
0.02184,0.132048815,-0.471389234,0.339340463
0.02212,0.174431412,-0.485620546,0.311189172
0.0224,0.213566634,-0.490621687,0.277055091
0.02268,0.249887307,-0.487697025,0.237809758
0.02296,0.285373025,-0.483504698,0.19813171
0.02324,0.320280199,-0.47943858,0.159158418
0.02352,0.352177241,-0.472279209,0.120102008
0.0238,0.378676558,-0.455616316,0.076939801
0.02408,0.405498355,-0.436205056,0.030706742
0.02436,0.428579506,-0.418669436,-0.009910039
0.02464,0.447400271,-0.398069744,-0.049330494
0.02492,0.462084677,-0.370744581,-0.091340058
0.0252,0.474728995,-0.339269542,-0.135459415
0.02548,0.484007154,-0.307243721,-0.176763398
0.02576,0.489489094,-0.274222083,-0.215266977
0.02604,0.489837174,-0.238164694,-0.251672446
0.02632,0.486250161,-0.197760491,-0.288489645
0.0266,0.480700993,-0.157840738,-0.322860225
0.02688,0.471902632,-0.119302672,-0.352599932
0.02716,0.459854516,-0.076429706,-0.383424774
0.02744,0.444584771,-0.031915976,-0.41266876
0.02772,0.423794302,0.010647532,-0.434441807
0.028,0.397784254,0.05172684,-0.449511066
0.02828,0.367569805,0.092701721,-0.460271497
0.02856,0.338627609,0.136080921,-0.474708503
0.02884,0.310234231,0.178503274,-0.488737476
0.02912,0.275469631,0.216401847,-0.491871452
0.0294,0.235716064,0.252127859,-0.487843897
0.02968,0.195212013,0.287997051,-0.483209033
0.02996,0.156196916,0.323014533,-0.479211428
0.03024,0.116917042,0.353257059,-0.470174069
0.03052,0.072769052,0.380871632,-0.453640655
0.0308,0.027585375,0.405797618,-0.433382968
0.03108,-0.012695893,0.428187826,-0.415491905
0.03136,-0.0527915,0.446240898,-0.393449369
0.03164,-0.095391542,0.46093046,-0.365538895
0.03192,-0.139439555,0.47297051,-0.333530926
0.0322,-0.17992939,0.482159635,-0.302230214
0.03248,-0.216972509,0.485783801,-0.26881126
0.03276,-0.254094752,0.484763905,-0.230669124
0.03304,-0.291235838,0.480841112,-0.189605241
0.03332,-0.324654315,0.475371525,-0.150717177
0.0336,-0.353523961,0.465463108,-0.111939117
0.03388,-0.384796039,0.45368833,-0.068892258
0.03416,-0.412826989,0.436485715,-0.02365869
0.03444,-0.432760294,0.413605051,0.019155284
0.03472,-0.447241831,0.387246172,0.059995693
0.035,-0.458105484,0.357677044,0.100428474
0.03528,-0.472282295,0.32878543,0.143496899
0.03556,-0.485631568,0.300000892,0.185630708
0.03584,-0.486373898,0.263500303,0.222873629
0.03612,-0.48158945,0.222342959,0.259246522
0.0364,-0.47755679,0.182681596,0.294875238
0.03668,-0.473115335,0.144838248,0.328277127
0.03696,-0.461534353,0.104143962,0.357390431
0.03724,-0.444886678,0.059733159,0.385153555
0.03752,-0.425035381,0.015451698,0.40958372
0.0378,-0.406009229,-0.025560438,0.431569714
0.03808,-0.383747087,-0.065031473,0.448778599
0.03836,-0.353776471,-0.107927863,0.461704377
0.03864,-0.3221475,-0.151155014,0.473302555
0.03892,-0.291649107,-0.190887181,0.482536325
0.0392,-0.256704527,-0.228520432,0.485224996
0.03948,-0.217475674,-0.265789612,0.48326533
0.03976,-0.177456744,-0.301700055,0.479156842
0.04004,-0.138285965,-0.33370485,0.471990859
0.04032,-0.099440025,-0.362814259,0.462254326
0.0406,-0.055711559,-0.394105661,0.449817264
0.04088,-0.011116609,-0.420959918,0.432076558
0.04116,0.031670309,-0.440103031,0.408432763
0.04144,0.071539921,-0.453692235,0.382152354
